(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ "/home/sepehr/VS Code/aco-env/bin/python" "/home/sepehr/VS Code/Project/F- GA_LoadSet1_Freq.py"

===== Run 1 =====
Generation 1: Weight = 20229681.43
Generation 2: Weight = 20224917.92
Generation 3: Weight = 20219473.94
Generation 4: Weight = 20219473.94
Generation 5: Weight = 20214381.18
Generation 6: Weight = 20214381.18
Generation 7: Weight = 20214168.96
Generation 8: Weight = 20214168.96
Generation 9: Weight = 20213673.86
Generation 10: Weight = 20213673.86
Generation 11: Weight = 20213414.21
Generation 12: Weight = 20211300.60
Generation 13: Weight = 20211300.60
Generation 14: Weight = 20211300.60
Generation 15: Weight = 20211300.60
Generation 16: Weight = 20211300.60
Generation 17: Weight = 20211300.60
Generation 18: Weight = 20211297.41
Generation 19: Weight = 20211038.80
Generation 20: Weight = 20210473.52
Generation 21: Weight = 20210473.52
Generation 22: Weight = 20210473.52
Generation 23: Weight = 20210473.52
Generation 24: Weight = 20210012.09
Generation 25: Weight = 20210012.09
Generation 26: Weight = 20210012.09
Generation 27: Weight = 20210012.09
Generation 28: Weight = 20210012.09
Generation 29: Weight = 20209731.22
Generation 30: Weight = 20209560.57
Generation 31: Weight = 20209327.95
Generation 32: Weight = 20209288.30
Generation 33: Weight = 20209288.30
Generation 34: Weight = 20209213.60
Generation 35: Weight = 20209213.60
Generation 36: Weight = 20209022.91
Generation 37: Weight = 20208861.32
Generation 38: Weight = 20208493.17
Generation 39: Weight = 20208492.88
Generation 40: Weight = 20208489.76
Generation 41: Weight = 20208333.10
Generation 42: Weight = 20208161.94
Generation 43: Weight = 20208063.53
Generation 44: Weight = 20208025.71
Generation 45: Weight = 20208012.50
Generation 46: Weight = 20207414.26
Generation 47: Weight = 20207283.79
Generation 48: Weight = 20207188.74
Generation 49: Weight = 20207188.74
Generation 50: Weight = 20206599.07
Generation 51: Weight = 20206547.36
Generation 52: Weight = 20206270.73
Generation 53: Weight = 20205985.03
Generation 54: Weight = 20205985.03
Generation 55: Weight = 20205985.03
Generation 56: Weight = 20205854.53
Generation 57: Weight = 20205709.22
Generation 58: Weight = 20205468.09
Generation 59: Weight = 20205383.14
Generation 60: Weight = 20205383.14
Generation 61: Weight = 20204854.74
Generation 62: Weight = 20204854.74
Generation 63: Weight = 20204847.63
Generation 64: Weight = 20204847.02
Generation 65: Weight = 20204368.97
Generation 66: Weight = 20204290.70
Generation 67: Weight = 20204212.80
Generation 68: Weight = 20203918.81
Generation 69: Weight = 20203833.94
Generation 70: Weight = 20203763.31
Generation 71: Weight = 20203462.10
Generation 72: Weight = 20203359.24
Generation 73: Weight = 20203268.38
Generation 74: Weight = 20203142.85
Generation 75: Weight = 20203054.79
Generation 76: Weight = 20202614.35
Generation 77: Weight = 20202614.35
Generation 78: Weight = 20202201.20
Generation 79: Weight = 20202201.20
Generation 80: Weight = 20202182.54
Generation 81: Weight = 20202182.54
Generation 82: Weight = 20201884.86
Generation 83: Weight = 20201721.29
Generation 84: Weight = 20201721.29
Generation 85: Weight = 20201721.29
Generation 86: Weight = 20201721.29
Generation 87: Weight = 20201721.29
Generation 88: Weight = 20201721.29
Generation 89: Weight = 20201635.25
Generation 90: Weight = 20201635.25
Generation 91: Weight = 20201634.46
Generation 92: Weight = 20201510.69
Generation 93: Weight = 20201509.14
Generation 94: Weight = 20201484.58
Generation 95: Weight = 20201444.02
Generation 96: Weight = 20201444.02
Generation 97: Weight = 20201312.68
Generation 98: Weight = 20201312.68
Generation 99: Weight = 20201312.68
Generation 100: Weight = 20201167.66
Generation 101: Weight = 20201167.66
Generation 102: Weight = 20201137.79
Generation 103: Weight = 20201136.73
Generation 104: Weight = 20201098.27
Generation 105: Weight = 20201098.27
Generation 106: Weight = 20200880.75
Generation 107: Weight = 20200880.75
Generation 108: Weight = 20200880.75
Generation 109: Weight = 20200880.75
Generation 110: Weight = 20200880.75
Generation 111: Weight = 20200880.75
Generation 112: Weight = 20200880.75
Generation 113: Weight = 20200880.75
Generation 114: Weight = 20200880.75
Generation 115: Weight = 20200880.75
Generation 116: Weight = 20200880.75
Generation 117: Weight = 20200880.75
Generation 118: Weight = 20200880.75
Generation 119: Weight = 20200880.75
Generation 120: Weight = 20200880.75
Generation 121: Weight = 20200880.75
Generation 122: Weight = 20200880.75
Generation 123: Weight = 20200880.75
Generation 124: Weight = 20200880.75
Generation 125: Weight = 20200880.75
Generation 126: Weight = 20200880.75
Generation 127: Weight = 20200880.75
Generation 128: Weight = 20200880.75
Generation 129: Weight = 20200880.75
Generation 130: Weight = 20200880.75
Generation 131: Weight = 20200880.75
Generation 132: Weight = 20200880.75
Generation 133: Weight = 20200880.75
Generation 134: Weight = 20200880.75
Generation 135: Weight = 20200880.75
Generation 136: Weight = 20200880.75
Generation 137: Weight = 20200880.75
Generation 138: Weight = 20200880.75
Generation 139: Weight = 20200880.75
Generation 140: Weight = 20200880.75
Generation 141: Weight = 20200880.75
Generation 142: Weight = 20200880.75
Generation 143: Weight = 20200880.75
