(aco-env) sepehr@sepehr-HP-Laptop:~/VS Code$ "/home/sepehr/VS Code/aco-env/bin/python" "/home/sepehr/VS Code/Project/F- PSO_LoadSet2_Freq.py"

===== Run 1 =====
Generation 1: Weight = 20219022.89
Generation 2: Weight = 20216161.09
Generation 3: Weight = 20212103.17
Generation 4: Weight = 20210232.71
Generation 5: Weight = 20207947.38
Generation 6: Weight = 20207947.38
Generation 7: Weight = 20207481.94
Generation 8: Weight = 20207221.91
Generation 9: Weight = 20206258.37
Generation 10: Weight = 20205891.29
Generation 11: Weight = 20205326.79
Generation 12: Weight = 20205006.46
Generation 13: Weight = 20204913.67
Generation 14: Weight = 20204682.99
Generation 15: Weight = 20204570.86
Generation 16: Weight = 20204507.76
Generation 17: Weight = 20204353.62
Generation 18: Weight = 20204284.63
Generation 19: Weight = 20203985.08
Generation 20: Weight = 20203901.93
Generation 21: Weight = 20203881.74
Generation 22: Weight = 20203873.73
Generation 23: Weight = 20203847.19
Generation 24: Weight = 20203819.37
Generation 25: Weight = 20203819.37
Generation 26: Weight = 20203819.37
Generation 27: Weight = 20203819.37
Generation 28: Weight = 20203819.10
Generation 29: Weight = 20203808.26
Generation 30: Weight = 20203808.26
Generation 31: Weight = 20203808.26
Generation 32: Weight = 20203806.37
Generation 33: Weight = 20203806.37
Generation 34: Weight = 20203795.62
Generation 35: Weight = 20203795.62
Generation 36: Weight = 20203795.62
Generation 37: Weight = 20203795.62
Generation 38: Weight = 20203795.62
Generation 39: Weight = 20203795.62
Generation 40: Weight = 20203795.62
Generation 41: Weight = 20203795.62
Generation 42: Weight = 20203795.62
Generation 43: Weight = 20203795.62
Generation 44: Weight = 20203795.62
Generation 45: Weight = 20203795.62
Generation 46: Weight = 20203795.24
Generation 47: Weight = 20203795.24
Generation 48: Weight = 20203795.24
Generation 49: Weight = 20203795.24
Generation 50: Weight = 20203795.24
Generation 51: Weight = 20203795.24
Generation 52: Weight = 20203795.24
Generation 53: Weight = 20203794.46
Generation 54: Weight = 20203794.46
Generation 55: Weight = 20203794.46
Generation 56: Weight = 20203794.46
Generation 57: Weight = 20203794.46
Generation 58: Weight = 20203794.46
Generation 59: Weight = 20203794.46
Generation 60: Weight = 20203794.46
Generation 61: Weight = 20203794.46
Generation 62: Weight = 20203794.27
Generation 63: Weight = 20203794.27
Generation 64: Weight = 20203794.27
Generation 65: Weight = 20203794.27
Generation 66: Weight = 20203794.27
Generation 67: Weight = 20203794.27
Generation 68: Weight = 20203794.27
Generation 69: Weight = 20203794.27
Generation 70: Weight = 20203794.27
Generation 71: Weight = 20203794.27
Generation 72: Weight = 20203794.27
Generation 73: Weight = 20203794.27
Generation 74: Weight = 20203794.27
Generation 75: Weight = 20203794.27
Generation 76: Weight = 20203794.27
Generation 77: Weight = 20203794.27
Generation 78: Weight = 20203794.27
Generation 79: Weight = 20203794.27
Generation 80: Weight = 20203794.27
Generation 81: Weight = 20203794.14
Generation 82: Weight = 20203794.14
Generation 83: Weight = 20203794.14
Generation 84: Weight = 20203794.14
Generation 85: Weight = 20203794.14
Generation 86: Weight = 20203794.14
Generation 87: Weight = 20203794.14
Generation 88: Weight = 20203794.14
Generation 89: Weight = 20203794.14
Generation 90: Weight = 20203794.14
Generation 91: Weight = 20203794.14
Generation 92: Weight = 20203794.14
Generation 93: Weight = 20203794.14
Generation 94: Weight = 20203794.14
Generation 95: Weight = 20203794.14
Generation 96: Weight = 20203794.14
Generation 97: Weight = 20203794.14
Generation 98: Weight = 20203794.14
Generation 99: Weight = 20203794.14
Generation 100: Weight = 20203794.14
Generation 101: Weight = 20203794.14
Generation 102: Weight = 20203794.14
Generation 103: Weight = 20203794.14
Generation 104: Weight = 20203794.14
Generation 105: Weight = 20203794.14
Generation 106: Weight = 20203794.00
Generation 107: Weight = 20203794.00
Generation 108: Weight = 20203794.00
Generation 109: Weight = 20203794.00
Generation 110: Weight = 20203794.00
Generation 111: Weight = 20203794.00
Generation 112: Weight = 20203794.00
Generation 113: Weight = 20203794.00
Generation 114: Weight = 20203793.99
Generation 115: Weight = 20203793.99
Generation 116: Weight = 20203793.99
Generation 117: Weight = 20203793.99
Generation 118: Weight = 20203793.99
Generation 119: Weight = 20203793.99
Generation 120: Weight = 20203793.99
Generation 121: Weight = 20203793.99
Generation 122: Weight = 20203793.99
Generation 123: Weight = 20203793.99
Generation 124: Weight = 20203793.99
Generation 125: Weight = 20203793.99
Generation 126: Weight = 20203793.99
Generation 127: Weight = 20203793.99
Generation 128: Weight = 20203793.99
Generation 129: Weight = 20203793.99
Generation 130: Weight = 20203793.99
Generation 131: Weight = 20203793.99
Generation 132: Weight = 20203793.99
Generation 133: Weight = 20203793.99
Generation 134: Weight = 20203793.99
Generation 135: Weight = 20203793.99
Generation 136: Weight = 20203793.99
Generation 137: Weight = 20203793.99
Generation 138: Weight = 20203793.99
Generation 139: Weight = 20203793.99
Generation 140: Weight = 20203793.99
Generation 141: Weight = 20203793.99
Generation 142: Weight = 20203793.99
Generation 143: Weight = 20203793.99
